set;model;epochs;loss;accuracy;val_loss;val_accuracy
DiatomSizeReduction;inception;1000;4.8406e-04;1.0000;0.0580;0.9673
DiatomSizeReduction;cnn;20;0.7738;0.8750;1.3421;0.3072
DiatomSizeReduction;cnn;100;0.2350;0.9375;6.6791;0.1078
DiatomSizeReduction;cnn;500;0.0352;1.0000;28.4398;0.1078
DiatomSizeReduction;cnn;1000;0.0145;1.0000;0.2314;0.9216
DiatomSizeReduction;resnet;20;0.0817;1.0000;1.3376;0.2843
DiatomSizeReduction;resnet;100;0.0274;1.0000;4.6854;0.3072
DiatomSizeReduction;resnet;500;9.2102e-04;1.0000;6.3116;0.0588
DiatomSizeReduction;resnet;1000;0.0058;1.0000;0.0444;0.9902
DiatomSizeReduction;encoder;20;1.2139;0.5000;1.2495;0.3399
DiatomSizeReduction;encoder;100;0.4819;0.8750;0.6030;0.8824
DiatomSizeReduction;encoder;500;0.0174;1.0000;0.0889;0.9641
DiatomSizeReduction;encoder;1000;0.0018;1.0000;0.0775;0.9641
DistalPhalanxOutlineAgeGroup;inception;20;0.2937;0.8700;1.4321;0.1223
DistalPhalanxOutlineAgeGroup;inception;100;0.0734;0.9850;2.4169;0.5108
DistalPhalanxOutlineAgeGroup;inception;500;2.5998e-04;1.0000;1.5595;0.6763
DistalPhalanxOutlineAgeGroup;inception;1000;2.0266e-04;1.0000;1.5848;0.6763
DistalPhalanxOutlineAgeGroup;cnn;20;0.3842;0.8475;1.5635;0.1079
DistalPhalanxOutlineAgeGroup;cnn;100;0.3140;0.8700;0.5473;0.7338
DistalPhalanxOutlineAgeGroup;cnn;500;0.0911;0.9775;2.5404;0.6619
DistalPhalanxOutlineAgeGroup;cnn;1000;0.0022;1.0000;1.3536;0.6906
DistalPhalanxOutlineAgeGroup;resnet;20;0.3439;0.8625;1.4677;0.1079
DistalPhalanxOutlineAgeGroup;resnet;100;0.0446;0.9850;1.3430;0.6978
DistalPhalanxOutlineAgeGroup;resnet;500;4.5651e-04;1.0000;1.4961;0.7122
DistalPhalanxOutlineAgeGroup;resnet;1000;0.0016;1.0000;1.5744;0.7266
DistalPhalanxOutlineAgeGroup;encoder;20;0.4680;0.8075;0.7048;0.6835
DistalPhalanxOutlineAgeGroup;encoder;100;0.3197;0.8675;0.5352;0.7626
DistalPhalanxOutlineAgeGroup;encoder;500;0.2149;0.9200;0.6263;0.7410
DistalPhalanxOutlineAgeGroup;encoder;1000;0.1333;0.9525;0.8456;0.6978
DistalPhalanxOutlineCorrect;inception;20;0.2018;0.9233;0.8746;0.4167
DistalPhalanxOutlineCorrect;inception;100;0.0373;0.9833;1.8598;0.5688
DistalPhalanxOutlineCorrect;inception;500;1.7873e-04;1.0000;1.3175;0.7681
