model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
ENCODER;MiddlePhalanxTW;DistalPhalanxTW;0;1000;0.6474820143884892
ENCODER;MiddlePhalanxTW;DistalPhalanxTW;22;1000;0.6546762589928058
INCEPTION;MiddlePhalanxTW;DistalPhalanxTW;0;1000;0.6762589928057554
INCEPTION;MiddlePhalanxTW;DistalPhalanxTW;63;1000;0.6402877697841727
CNN;UWaveGestureLibraryZ;ECG200;0;100;0.88
CNN;UWaveGestureLibraryZ;ECG200;11;100;0.79
RESNET;UWaveGestureLibraryZ;ECG200;0;100;0.9
RESNET;UWaveGestureLibraryZ;ECG200;37;100;0.8
ENCODER;UWaveGestureLibraryZ;ECG200;0;100;0.89
ENCODER;UWaveGestureLibraryZ;ECG200;22;100;0.91
INCEPTION;UWaveGestureLibraryZ;ECG200;0;100;0.93
INCEPTION;UWaveGestureLibraryZ;ECG200;63;100;0.78
CNN;UWaveGestureLibraryZ;ECG200;0;1000;0.91
CNN;UWaveGestureLibraryZ;ECG200;11;1000;0.87
RESNET;UWaveGestureLibraryZ;ECG200;0;1000;0.9
RESNET;UWaveGestureLibraryZ;ECG200;37;1000;0.83
ENCODER;UWaveGestureLibraryZ;ECG200;0;1000;0.92
ENCODER;UWaveGestureLibraryZ;ECG200;22;1000;0.93
INCEPTION;UWaveGestureLibraryZ;ECG200;0;1000;0.91
INCEPTION;UWaveGestureLibraryZ;ECG200;63;1000;0.82
CNN;CricketY;ECG5000;0;100;0.9415555555555556
CNN;CricketY;ECG5000;11;100;0.9346666666666666
RESNET;CricketY;ECG5000;0;100;0.9313333333333333
RESNET;CricketY;ECG5000;37;100;0.934
ENCODER;CricketY;ECG5000;0;100;0.9408888888888889
ENCODER;CricketY;ECG5000;22;100;0.9375555555555556
INCEPTION;CricketY;ECG5000;0;100;0.9353333333333333
INCEPTION;CricketY;ECG5000;63;100;0.93
CNN;CricketY;ECG5000;0;1000;0.9411111111111111
CNN;CricketY;ECG5000;11;1000;0.9353333333333333
RESNET;CricketY;ECG5000;0;1000;0.9353333333333333
RESNET;CricketY;ECG5000;37;1000;0.9277777777777778
ENCODER;CricketY;ECG5000;0;1000;0.9388888888888889
ENCODER;CricketY;ECG5000;22;1000;0.9375555555555556
INCEPTION;CricketY;ECG5000;0;1000;0.9391111111111111
INCEPTION;CricketY;ECG5000;63;1000;0.9375555555555556
CNN;ECG5000;ECGFiveDays;0;100;0.6538908246225319
CNN;ECG5000;ECGFiveDays;11;100;0.6016260162601627
RESNET;ECG5000;ECGFiveDays;0;100;0.9767711962833914
RESNET;ECG5000;ECGFiveDays;37;100;0.7119628339140535
ENCODER;ECG5000;ECGFiveDays;0;100;1.0
ENCODER;ECG5000;ECGFiveDays;22;100;0.9930313588850174
INCEPTION;ECG5000;ECGFiveDays;0;100;1.0
INCEPTION;ECG5000;ECGFiveDays;63;100;0.8060394889663183
CNN;ECG5000;ECGFiveDays;0;1000;0.9907084785133565
CNN;ECG5000;ECGFiveDays;11;1000;0.7642276422764228
RESNET;ECG5000;ECGFiveDays;0;1000;0.9976771196283392
RESNET;ECG5000;ECGFiveDays;37;1000;0.8966318234610917
ENCODER;ECG5000;ECGFiveDays;0;1000;1.0
ENCODER;ECG5000;ECGFiveDays;22;1000;0.9907084785133565
INCEPTION;ECG5000;ECGFiveDays;0;1000;1.0
INCEPTION;ECG5000;ECGFiveDays;63;1000;0.8722415795586528
CNN;RefrigerationDevices;Earthquakes;0;100;0.7482014388489209
CNN;RefrigerationDevices;Earthquakes;11;100;0.7482014388489209
RESNET;RefrigerationDevices;Earthquakes;0;100;0.7553956834532374
RESNET;RefrigerationDevices;Earthquakes;37;100;0.7410071942446043
ENCODER;RefrigerationDevices;Earthquakes;0;100;0.7482014388489209
ENCODER;RefrigerationDevices;Earthquakes;22;100;0.7194244604316546
INCEPTION;RefrigerationDevices;Earthquakes;0;100;0.7482014388489209
INCEPTION;RefrigerationDevices;Earthquakes;63;100;0.7482014388489209
CNN;RefrigerationDevices;Earthquakes;0;1000;0.7122302158273381
CNN;RefrigerationDevices;Earthquakes;11;1000;0.7482014388489209
RESNET;RefrigerationDevices;Earthquakes;0;1000;0.7338129496402878
RESNET;RefrigerationDevices;Earthquakes;37;1000;0.7410071942446043
ENCODER;RefrigerationDevices;Earthquakes;0;1000;0.7338129496402878
ENCODER;RefrigerationDevices;Earthquakes;22;1000;0.7266187050359713
INCEPTION;RefrigerationDevices;Earthquakes;0;1000;0.6690647482014388
INCEPTION;RefrigerationDevices;Earthquakes;63;1000;0.7482014388489209
CNN;MedicalImages;ElectricDevices;0;100;0.7019841784463753
CNN;MedicalImages;ElectricDevices;11;100;0.6038127350538193
RESNET;MedicalImages;ElectricDevices;0;100;0.7286992607962651
RESNET;MedicalImages;ElectricDevices;37;100;0.6322137206587991
ENCODER;MedicalImages;ElectricDevices;0;100;0.6842173518350408
ENCODER;MedicalImages;ElectricDevices;22;100;0.6073142264297756
INCEPTION;MedicalImages;ElectricDevices;0;100;0.6760472052911425
INCEPTION;MedicalImages;ElectricDevices;63;100;0.624173258980677
CNN;MedicalImages;ElectricDevices;0;1000;0.705745039553884
CNN;MedicalImages;ElectricDevices;11;1000;0.6973155232784334
RESNET;MedicalImages;ElectricDevices;0;1000;0.7500972636493322
RESNET;MedicalImages;ElectricDevices;37;1000;0.6564647905589418
ENCODER;MedicalImages;ElectricDevices;0;1000;0.6849954610296979
ENCODER;MedicalImages;ElectricDevices;22;1000;0.6507586564647906
INCEPTION;MedicalImages;ElectricDevices;0;1000;0.7124886525742445
INCEPTION;MedicalImages;ElectricDevices;63;1000;0.6385682790818311
CNN;ShapesAll;Fish;0;100;0.3142857142857143
CNN;ShapesAll;Fish;11;100;0.7942857142857143
RESNET;ShapesAll;Fish;0;100;0.9771428571428571
RESNET;ShapesAll;Fish;37;100;0.88
ENCODER;ShapesAll;Fish;0;100;0.8514285714285714
ENCODER;ShapesAll;Fish;22;100;0.8171428571428572
INCEPTION;ShapesAll;Fish;0;100;0.9771428571428571
INCEPTION;ShapesAll;Fish;63;100;0.8514285714285714
CNN;ShapesAll;Fish;0;1000;0.96
CNN;ShapesAll;Fish;11;1000;0.8971428571428571
RESNET;ShapesAll;Fish;0;1000;0.9771428571428571
RESNET;ShapesAll;Fish;37;1000;0.9428571428571428
ENCODER;ShapesAll;Fish;0;1000;0.9085714285714286
ENCODER;ShapesAll;Fish;22;1000;0.8457142857142858
INCEPTION;ShapesAll;Fish;0;1000;0.9828571428571429
INCEPTION;ShapesAll;Fish;63;1000;0.92
CNN;SyntheticControl;FaceAll;0;100;0.91301775147929
CNN;SyntheticControl;FaceAll;11;100;0.5816568047337278
RESNET;SyntheticControl;FaceAll;0;100;0.857396449704142
RESNET;SyntheticControl;FaceAll;37;100;0.7071005917159763
ENCODER;SyntheticControl;FaceAll;0;100;0.7733727810650888
ENCODER;SyntheticControl;FaceAll;22;100;0.7804733727810651
INCEPTION;SyntheticControl;FaceAll;0;100;0.7822485207100591
INCEPTION;SyntheticControl;FaceAll;63;100;0.5857988165680473
CNN;SyntheticControl;FaceAll;0;1000;0.927810650887574
CNN;SyntheticControl;FaceAll;11;1000;0.6822485207100591
RESNET;SyntheticControl;FaceAll;0;1000;0.8301775147928994
RESNET;SyntheticControl;FaceAll;37;1000;0.8461538461538461
